,Bids listed(29/12/2016),Siteid,Candidate Site URL,Source,Priority,Status,AssignedTo,Note,"Nothing
Captured","Due Date 
Wrong","Title
Wrong","Description 
Wrong","UTF
Encoding
Error","Opportunity
 Link
Wrong",SiteName,SiteDescription,SiteShortName,DefaultCustomerName,SiteURL,SourceType,DefaultOpportunityLongitude,DefaultOpportunityLatitude,DefaultCustomerType,DefaultCountry,DefaultState,DefaultCity,DefaultTimeZone,SiteProperty,DefaultAggregatorClass,AggregatorEnabled,SiteAggregateFrequencyInMins,Content Verified in Stage?,Content Verified in Production?
#70,☐,,http://www.nevada.k12.mo.us/system/app/pages/customSearch?scope=search-ns&q=bids,NEVADA SCH DIST R 5 school,Low,Development Backlog,,No bid listed.(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#71,☐,1941,http://mexicoschools.net/page.php?p=2652,MEXICO SCH DIST 59 school,Low,Verified,Dishani,wrong address,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#72,☑,1627,http://www.ksdr1.net/district/bidding-opportunities/,Kearney School District,Low,Verified,Akash Pandey,no current bids on it (10/08/2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#73,☐,,http://afftonschools.net/departments/building-grounds/rfpbid-opportunities/,AFFTON SCH DIST 101 school,Low,Development Backlog,,No bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#74,☐,,http://www.center.k12.mo.us/gen/center_generated_pages/Bids__RFPs_m235.html,CENTER SCH DIST 58 school,Low,Development Backlog,,No bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#75,☑,360,https://www.cityofcapegirardeau.org/CityHall/City-Cape-Girardeau-Open-Bids.aspx,CAPE GIRARDEAU muincipal,Medium,Verified,Akash Pandey,running on production(09-jan-2017),☐,☐,☐,☐,☐,☐,City of Cape Girardeau,City of Cape Girardeau,City of Cape Girardeau,City of Cape Girardeau,https://www.cityofcapegirardeau.org/newsBids.aspx,Free,-89.523018,37.303478,City,United States,Missouri,Cape Girardeau,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/cape_girardeau.properties,com.instantmarkets.aggregator.parser.CombinationAggregator,0,360,,
#76,☑,,"http://www.desoto.k12.mo.us/search/default.aspx?q=bids&type=0,506519-360768,506519-117|-1",DE SOTO SCH DIST C 73 school,Low,Development Backlog,,Old bid listed(09-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#77,☑,1625,http://www.hsdr3.org/#!about1/cj1f,HILLSBORO SCH DIST R 3 school,Low,Verified,Akash Pandey,"No bids are listed.  Akash:Now have one bid(6-jan-2017) ,url not working",☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#78,☐,,http://www.washington.k12.mo.us/departments/business/rfp,WASHINGTON SCH DIST school,Low,Development Backlog,,Have robot verification.,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#79,☐,,http://www.findrfp.com/welcome.html,ROCKWOOD SCH DIST R-6 ,Low,Development Backlog,,Site down now(Checked on 03-May-2016).,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#80,☐,,http://www.findrfp.com/welcome.html,ROCKWOOD SCH DIST R-6 ,Low,Development Backlog,,Duplicate site as in #79,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#81,☑,,http://www.parkwayschools.net/pages/ParkwayC2/Programs_Depts/4866708780963077506/Purchasing_and_Sustainability/Purchasing/4866709522797330498/Bid_requsltkakljsdf,"PARKWAY SCH DIST C-2 
",Low,Development Backlog,,Old bid listed(6-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#82,☑,,http://www.jenningsk12.org/Default.asp?PN=DocumentUploads&L=1&DivisionID=10463&LMID=438735&ToggleSideNav=ShowAll,JENNINGS SCH DIST school,Medium,Development Backlog,,Having same problem as #62,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#83,☑,,http://www.potosischools.com/index.php/technology/15-potosi-schools/112-rfp-portal,POTOSI SCH DIST R 3,Medium,Development Backlog,,All old bids(2015) are listed.(6-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#84,☑,1623,http://www.kirkwoodschools.org/pages/Kirkwood_School_District/Departments/Finance_Group/Other_Contents/RFP,Kirkwood School District,Medium,Verification Failed,Akash Pandey,"No bids are listed(Checked on 3-may-2016). Akash: now having new bids(29/12/2016) Akash:having new bids(6-jan-2017), not found on beta, no bid on it (23/08/2017)",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#85,☑,,http://pds.lsr7.org/bidsrfp/,LEES SUMMIT SCH DIST R-7,Low,Development Backlog,Akash Pandey,- Server returned HTTP response code: 403 for URL:,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#86,☐,,http://mehlvilleschooldistrict.com/modules/cms/pages.phtml?pageid=224184&SID,MEHLVILLE SCH DIST R-9,High,Development Backlog,Akash Pandey,having different formats in pdf  Akash:Now page not found on base url(29/12/2016),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#87,☑,,http://www.lincolnu.edu/web/purchasing/bids,Lincoln University,Medium,Verified,Akash Pandey,Having different format dates so I pick only open bids.  Akash:having old bids(6-jan-2017),☐,☐,☐,☐,☐,☐,Lincoln University,Lincoln University,Lincoln University,Lincoln University,http://www.lincolnu.edu/web/purchasing/bids,Free,-92.173515,38.576702,University,United States,Missouri,Jefferson,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/lincoln_university.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#88,☐,397,http://plans.missouristate.edu/,Missouri State University,Medium,Verified,Akash Pandey,Due Date is not showing in one opportunity  Akash:Now not having any bid(29/12/2016)  Now no bid listed(6-jan-2017) ,☐,☑,☐,☐,☐,☐,Missouri State University,Missouri State University,Missouri State University,Missouri State University,http://plans.missouristate.edu/,Free,-93.276093,37.200573,University,United States,Missouri,Springfield,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/missouri_state_university.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#89,☑,383,https://www.missouriwestern.edu/purchasing/current-bids/,Missouri Western State University,Low,Verified,Akash Pandey,running on production(6-jan-2017),☐,☐,☐,☐,☐,☐,Missouri Western State University,Missouri Western State University,Missouri Western State University,Missouri Western State University,https://www.missouriwestern.edu/purchasing/current-bids/,Free,-94.786873,39.75695,University,United States,Missouri,St. Louis,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/missouri_wastern_university.properties,com.instantmarkets.aggregator.parser.BinaryFileAggregator,0,360,,
#90,☑,1624,http://www.nwmissouri.edu/services/purchasing/bidlisting.htm,Northwest Missouri State University,Low,Verified,Akash Pandey,"No bid listed site ask to send mail to get bid list.  Akash: Now bid comes(6-jan-2017), wrong opportunity identifier, no bid on it (10/08/2017)",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#91,☑,348,http://www.semo.edu/purchasing/bids/index.html,Southeast Missouri State University,Medium,Verified,Akash Pandey,on akash's local it is working fine but on production it is not showing any information  Akash:made again(6-jan-2017),☐,☐,☐,☐,☐,☐,Southeast Missouri State University,Southeast Missouri State University,Southeast Missouri State University,Southeast Missouri State University,http://www.semo.edu/purchasing/bids/index.html,Free,-89.531044,37.312492,University,United States,Missouri,Cape Girardeau,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/southeast__university.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#92,☑,380,http://www.truman.edu/businessoffice/purchasing/open-bids/,Truman State University,High,Verified,Akash Pandey,running on production(6-jan-2017),☐,☐,☐,☐,☐,☐,Truman State University,Truman State University,Truman State University,Truman State University,http://www.truman.edu/businessoffice/purchasing/open-bids/,Free,-92.582092,40.188595,University,United States,Missouri,Kirksville,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/truman_state_university.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#93,☐,,http://designconstruction.mst.edu/bidsrfpsrfqs/,Missouri University of Science and Technology,Low,Development Backlog,Akash Pandey,No bid listed(6-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#94,☑,350,331,University of Central Missouri,Critical,Verified,Akash Pandey,Not on production now so again made(6-jan-2016),☐,☐,☐,☐,☐,☐,University of Central Missouri,University of Central Missouri,University of Central Missouri,University of Central Missouri,https://ucmo.ionwave.net/CurrentSourcingEvents.aspx,Free,-93.732613,38.756691,University,United States,Missouri,Warrensburg,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/university_central_missouri.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#95,☑,352,http://www.mcckc.edu/do-business-with-mcc/purchasing/current-bids.aspx,Metropolitan Community College,Critical,Verified,Akash Pandey,Old Bid listed(6-jan-2017),☐,☐,☐,☐,☐,☐,Metropolitan Community College,Metropolitan Community College,Metropolitan Community College,Metropolitan Community College,http://www.mcckc.edu/do-business-with-mcc/purchasing/current-bids.aspx,Free,-94.590408,39.068401,College,United States,Missouri,Kansas,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/metropolitan_comm_coll.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#96,☑,,http://www.ncmissouri.edu/purchasing/default.aspx,North Central Missouri College,Low,Development Backlog,,old bid listed(6-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#97,☑,347,https://services.otc.edu/adminservices/bidding-opportunities/,Ozarks Technical Community College,Medium,Verified,Akash Pandey,Akash:Not on production so made again(4-jan-2017),☐,☐,☐,☐,☐,☐,Ozarks Technical Community College,Ozarks Technical Community College,Ozarks Technical Community College,Ozarks Technical Community College,https://otc.ionwave.net/CurrentSourcingEvents.aspx,Free,-93.281784,37.215847,College,United States,Missouri,Springfield,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/ozarks_technical_college.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#98,☑,359,http://www.stlcc.edu/Campuses/Cosand_Center/Purchasing.html,St. Louis Community College,High,Verified,Akash Pandey,Due date was revised but it did not reflect in the pdf thats why I developed it via SinglePageAggregator.  Akash:running on production fine(4-jan-2017),☐,☐,☐,☐,☐,☐,,St. Louis Community College,St. Louis Community College,St. Louis Community College,http://www.stlcc.edu/Campuses/Cosand_Center/Purchasing.html,Free,-90.191063,38.622818,College,United States,Missouri,St. Louis,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/st_louis_college.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#99,☐,,http://www.sfccmo.edu/pages/712.asp,State Fair Community College,Low,Development Backlog,,Different format pdfs and also not possible make via Single page aggregator. Akash:no bid listed(4-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#100,☐,,https://www.trcc.edu/bids/,Three Rivers Community College,Low,Development Backlog,,Parse pdf in wrong encoding showing different types of character in the parse pdf. Akash:old bid listed(4-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#101,☑,353,https://www.umsystem.edu/apps/fa/procurement/bids/listview_Bids.php,University of Missouri,Critical,Verified,Akash Pandey,Developed using SinglePageAggregator rather than BinaryFileAggregator and shows link to PDF in the description.  Akash:running fine on production(4-jan-2017),☐,☐,☐,☐,☐,☐,University of Missouri System,University of Missouri System,University of Missouri System,University of Missouri System,https://www.umsystem.edu/apps/fa/procurement/bids/listview_Bids.php,Free,-92.338295,38.933662,University,United States,Missouri,Columbia,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/university_of_missouri_system.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#102,☑,1622,http://flystl.com/BusinessOpportunities/ServicesContractOpportunities.aspx,Lambert-St. Louis International Airport,Low,Verified,Akash Pandey,"Akash:Now Having New bids(4-jan-2017)   Scan Pdf so made by SinglePage, Bids are not showing full description.",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#103,☐,,http://www.jcps.k12.mo.us/Page/9501,JEFFERSON CITY SCH DIST,Low,Development Backlog,,No bid listed.(4-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#104,☑,349,http://mo-liberty.civicplus.com/Bids.aspx,LIBERTY Towns,Low,Verified,Akash Pandey,Akash:Not Present on production so fixed(4-jan-2017),☐,☐,☐,☐,☐,☐,City of Liberty,City of Liberty,City of Liberty,City of Liberty,http://mo-liberty.civicplus.com/Bids.aspx,Free,-94.4188,39.245789,City,United States,Missouri,Kansas,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/liberty_town.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#105,☑,388,http://www.webstercountymo.gov/economic-development/county-commission/,WEBSTER,Medium,Development Complete,Akash Pandey,"Akash:old bid listed(4-jan-2017), no bids on it",☐,☐,☐,☐,☐,☐,Webster County,Webster County,Webster County,Webster County,http://www.webstercountymo.gov/economic-development/county-commission/,Free,-92.90712,37.338657,County,United States,Missouri,Marshfield,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/webster_county.properties,com.instantmarkets.aggregator.parser.BinaryFileAggregator,0,360,,
#106,☑,1621,https://vrapp.vendorregistry.com/Bids/View/BidsList?BuyerId=b2fc9c20-1399-4658-8a1e-989753357981,City of Camdenton,Medium,Verified,Akash Pandey,"Akash:Now Having New bids(4-jan-2017), not found on beta",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#107,☑,1620,http://www.webstergroves.org/Bids.aspx,City of Webster Groves,Low,Verified,Akash Pandey,"Akash:Now Having New bids(4-jan-2017), not found on beta",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#108,☑,1613,http://www.belton.org/Bids.aspx,City of Belton,Medium,Verified,Akash Pandey,No open bid listed  Akash:Now having New bids(29/12/2016),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#109,☐,389,http://www.cityofsedalia.com/content/11304/12047/default.aspx,SEDALIA,Low,Verified,Akash Pandey,No open bid listed  Akash:Now having New bids(4-jan-2017),☐,☐,☐,☐,☐,☐,City of Sedalia,City of Sedalia,City of Sedalia,City of Sedalia,http://www.cityofsedalia.com/content/11304/12047/default.aspx,Free,-93.229576,38.709843,City,United States,Missouri,Sedalia,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/city_of_sedalia.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#110,☑,391,http://www.sikeston.org/departments/administrative_services/bids.php,SIKESTON,High,Verified,Akash Pandey,"Old bid listed(29/12/2016) AKash:old bid listed(4-jan-2017), not found on beta",☐,☐,☐,☐,☐,☐,City of Sikeston,City of Sikeston,City of Sikeston,City of Sikeston,http://www.sikeston.org/departments/administrative_services/bids.php,Free,-89.589317,36.877605,City,United States,Missouri,Sikeston,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/city_of_sikeston.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#111,☑,1614,http://www.overlandmo.org/Bids.aspx,City of Overland,Medium,Verified,Akash Pandey,No open bid listed  Akash:Now having new bids(29/12/2016),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#112,☑,392,http://www.cityofwildwood.com/Bids.aspx,WILDWOOD,Low,Verified,Akash Pandey,running fine on production(4-jan-2017),☐,☐,☐,☐,☐,☐,City of Wildwood,City of Wildwood,City of Wildwood,City of Wildwood,http://www.cityofwildwood.com/Bids.aspx,Free,-90.6315,38.580784,City,United States,Missouri,Wildwood,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/city_of_wildwood.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#113,☐,381,http://www.bridgetonmo.com/information/bids,BRIDGETON,Low,Verified,Akash Pandey,No bid listed now(4-jan-2017),☐,☐,☐,☐,☐,☐,City of Bridgeton,City of Bridgeton,City of Bridgeton,City of Bridgeton,http://www.bridgetonmo.com/information/bids,Free,-90.423424,38.756733,City,United States,Missouri,Bridgeton,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/city_of_bridgeton.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#114,☑,1615,https://www.fergusoncity.com/Bids.aspx?CatID=showStatus&txtSort=Category&showAllBids=on&Status=open,City of Ferguson,High,Verified,Akash Pandey,,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#115,☑,394,http://holdenschools.org/Page/1792,HOLDEN SCH DIST R 3,Low,Verified,Akash Pandey,"Akash:Old bid listed(04-jan-2017)
(",☐,☐,☐,☐,☐,☐,Holden R-III School District,Holden R-III School District,Holden R-III School District,Holden R-III School District,http://holdenschools.org/Page/1792,Free,-93.99099,38.703205,School,United States,Missouri,Holden,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/holden_school_district.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#116,☑,,http://www.bplnj.org/#!blank/yq9dk,Bloomfield Public Library,Low,Development Backlog,,,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#117,☐,,http://eldoradotransit.com/about-us/procurement-rfps/,El Dorado Springs Transit Services,Low,Development Backlog,,no bid listed,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#118,☑,,http://www.kcata.org/about_kcata/entries/current_opportunities,"ATA (Kansas City Area Transportation Authority, The Metro)",Critical,Refused Site,Akash Pandey,"Duplicate site #12,cover in 329 siteid (11/08/2017)",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
#119,☐,,http://trailslibrary.org/bids-and-rfps,Trails Regional Library,Low,Development Backlog,,no bid listed,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,☑,,http://scenicregional.org/about-us/bids-rfps/,Scenic Regional Library,Low,Development Backlog,,No bid listed Akash:PDF File not present,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,☐,,http://ucitylibrary.org/rfp,University City Public Library,Low,Verified,Akash Pandey,no bid listed(4-jan-2017),☐,☐,☐,☐,☐,☐,University City Public Library,University City Public Library,University City Public Library,University City Public Library,http://ucitylibrary.org/rfp,Free,-90.309265,38.656731,Library,United States,Missouri,St. Louis,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/university_city_library.properties,com.instantmarkets.aggregator.parser.BinaryFileAggregator,0,360,,
,,1470,http://dss.mo.gov/bids/,Missouri Department of Social Services,Medium,Verified,Akash Pandey,Ekta Makar,,,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1471,http://doc.mo.gov/DHS/Canteen_Resale_Bidding_Opportunities.php,Department of Corrections  (Division of Human Services),Low,Verified,Akash Pandey,Ekta Makar,,,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://difp.mo.gov/bids/,"Department of Insurance, Financial Institutions and Professional Registration ",Low,Development Backlog,Akash Pandey,,,No bid listed now,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1944,http://dmh.mo.gov/about/admin/rfp.html,Missouri Department of Mental Health,Low,Verified,Dishani,,,No bid listed now,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1937,http://www.mshp.dps.missouri.gov/MSHPWeb/PatrolDivisions/BPD/Purchasing/bidOpportunities.html,Missouri State Highway Patrol,Low,Development Backlog,Akash Pandey,due date of bids not in range(11/08/2017),,old bid listed,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1952,https://oa.mo.gov/purchasing/bidding-contracts/upcoming-mbewbe-and-sdve-subcontracting-bid-opportunities,,,Development Backlog,Dishani,-au-,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1945,http://doc.mo.gov/DHS/Professional_Services_Awarded.php,Missouri Department of Corrections  (Division of Human Services),,Verified,Dishani,,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://www.modot.org/business/consultant_resources/modot_solicitations.htm,,,,Dishani,"Due date of opps not in range(14/08/2017) , xpath of opps not work",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://www.modot.org/business/consultant_resources/LPASolicitationArchive.htm,,,,Dishani,Due date of opps not in range(14/08/2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1946,http://www.modot.org/business/consultant_resources/LPAsolicitations.htm,Missouri Department of Transportation,,Verified,Dishani,,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://www.modot.org/business/consultant_resources/MoDOTArchivedSolicitationSelectionInformation.htm,,,Development Backlog,Dishani,Due date of opps not in range(14/08/2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://www.molottery.com/learnaboutus/bid_opportunities.shtm,,,Development Backlog,Dishani,no bid on it(14/08/2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,https://dese.mo.gov/financial-admin-services/food-nutrition-services/procurement,,,Development Backlog,Dishani,Due date of opps not in range(14/08/2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://dor.mo.gov/purch/,,,Development Backlog,Dishani,Due date of opps not in range(14/08/2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,1943,https://webprocure.perfect.com/MainBidBoard?statefilter=All&typefilter=All&statusfilter=All&pgno=1&sortby=closedate&order=-1,Missouri,,Pending Deployment,Dishani,waiting for remove some bids on production,☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,317,https://webprocure.perfect.com/MainBidBoard?statusfilter=All&typefilter=All&statefilter=MO&search=&ac=1&bidoid=&bidid=&bidtype=&sortby=closedate&order=-1&pgno=0&oid=&baseurl=,Missouri,,Verified,Dishani,"its already on production, 
only Amended bids of Missouri State , waiting for remove some bids on production",☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,,http://dfs.adsmo.net/mdctheme/ProductSearch.aspx,,,Development Backlog,,Due date of opps not in range(14/08/2017),☐,☐,☐,☐,☐,☐,,,,,,,,,,,,,,,,,,,
,,327,https://webprocure.perfect.com/MainBidBoard?w=y&baseurl=https://webprocure.perfect.com&oid=87701&resize=true,Missouri Department of Transportation,,Verified,Dishani,award,☐,☐,☐,☐,☐,☐,,,,,all award bids of transportaion ,,,,,,,,,,,,,,
,,1949,https://webprocure.perfect.com/MainBidBoard?w=y&baseurl=https://webprocure.perfect.com&oid=87701&resize=true,Missouri Department of Transportation,,Pending Deployment,Dishani,"bid notification - open,closed,Amended
(30-aug) source site have many bids but only 8 bids are posted on beta
bid notification - open,closed,Amended
(31-aug)city name ""saint joseph"" should display in short - ""St. Joseph""
its already on production",,,,,,,,,,,"all close ,open and amended",,,,,,,,,,,,,,
,,,http://parkvillemo.gov/business/bids-proposals/,,,,,no bids ,,,,,,,,,,,,,,,,,,,,,,,,,
,,1947,http://www.slcl.org/bid-opportunities,St. Louis County Library,Low,Verified,Dishani,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://stlpartnership.com/rfp-rfq/,ST LOUIS COUNTY PORT AUTHORITY,Low,Development Backlog,Akash Pandey,Different format pdfs struggling in scraping the data.,,,,,,,,,,,,,,,,,,,,,,,,,
,,1948,http://www.portkc.com/index.php/about/rfps/,KANSAS CITY PORT AUTHORITY,Low,Verified,Akash Pandey,Different format pdfs struggling in scraping the data.,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,http://archive.oa.mo.gov/purch/contracts/,Missouri Office of Administration,High,Verified,,customer type name is not updated and wrong address ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://ded.mo.gov/Ded/BidProposals.aspx,,,Development Backlog,Dishani,no bids on it,,,,,,,,,,,,,,,,,,,,,,,,,
,,2558,http://difp.mo.gov/bids/,,,Development Backlog,Dishani,no bids on it,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://mostateparks.com/page/55055/state-park-concession-opportunities,,,Development Backlog,Dishani,Due date of opps not in range(21/08/2017),,,,,,,,,,,,,,,,,,,,,,,,,
,,2486,http://www.mchcp.org/biddingOpportunities/index.asp,,,Development Backlog,Dishani,Due date of opps not in range(21/08/2017),,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://oa.mo.gov/facilities/bid-opportunities/current-requests-proposals-rfps-leased-property,,,Development Backlog,Dishani,Due date of opps not in range(21/08/2017),,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://oa.mo.gov/facilities/bid-opportunities/current-requests-quotes-rfqs-leased-property,,,Development Backlog,Dishani,Due date of opps not in range(21/08/2017),,,,,,,,,,,,,,,,,,,,,,,,,
,,1951,https://www.umsystem.edu/ums/fa/procurement/contracts,University of Missouri,High,Verified,Dishani,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2484,https://www.jeffcomo.org/PurchaseIFB.aspx?nodeID=Purchasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2479,https://www.tigard-or.gov/business/bids.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2487,http://www.nkc.org/cms/One.aspx?portalId=2375314&pageId=15475605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.bidx.com/mo/main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1953,http://www.modot.org/business/contractor_resources/bid_opening_info/advertisement.htm,,High,Verified,Dishani,need to have smaller opp identifier and some opps have post date acc to addendum while some have older post date,,,,,,,,,,,,,,,,,,,,,,,,,
,,378,https://www.lebanon.k12.mo.us/bids,,,Development Backlog,Dishani,no bids on it,,,,,,,,,,,,,,,,,,,,,,,,,
,,,http://www.naspovaluepoint.org/#/Info-for-Vendors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1954,https://oa.mo.gov/purchasing/bidding-contracts/single-feasible-source-purchases,Missouri Office of Administration,Medium,Verified,Dishani,Only two opps are posted on beta but source site have opps more than two,,,,,,,,,,,,,,,,,,,,,,,,,
,,2481,https://www.raymore.com/work/bidding-opportunities,City of Raymore,Medium,,,0,,,,,,,Abhinav,,,,,,,,,,,,,,,,,,
,,2483,http://brentwoodmo.org/Bids.aspx?CatID=8&txtSort=Date&showAllBids=&Status=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2485,https://osagebeach-mo.gov/Bids.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,356,https://vrapp.vendorregistry.com/Bids/View/BidsList?BuyerId=2e2b6b16-84e8-4c98-8379-cf07507e6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,http://www.richmondheights.org/government/agendas_minutes_and_notices/bids.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2482,http://parkvillemo.gov/business/bids-proposals/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.arnoldmo.org/business/city-bids-contracts/,City of armold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
